formato,audio,repeticion,baseline_kib,min_available_kib,delta_ram_kib,delta_ram_mib,rss_kib,rss_mib
q5_1,test2.wav,3,12855176,12514876,340300,332.32,117624,114.87
q5_1,test3.wav,3,12857294,12544244,313050,305.71,117936,115.17
q5_1,test4.wav,3,12909858,12609126,300732,293.68,117400,114.65
q5_1,test5.wav,3,12887842,12531822,356020,347.68,117984,115.22
q5_1,test6.wav,3,12846802,12525833,320969,313.45,117812,115.05
q5_1,test7.wav,3,12888158,12606259,281899,275.29,116520,113.79
q5_1,test8.wav,3,12924670,12573332,351338,343.10,116792,114.05
q5_1,test9.wav,3,12856230,12509203,347027,338.89,116468,113.74
q5_1,test10.wav,3,12868572,12554941,313631,306.28,117860,115.10
q4_0,test1.wav,1,12857584,12561224,296360,289.41,115976,113.26
q4_0,test2.wav,1,12912796,12604048,308748,301.51,115588,112.88
q4_0,test3.wav,1,12932332,12606332,326000,318.36,116468,113.74
q4_0,test4.wav,1,12894680,12555829,338851,330.91,115504,112.80
q4_0,test5.wav,1,12856176,12566134,290042,283.24,115732,113.02
q4_0,test6.wav,1,12836788,12523084,313704,306.35,115572,112.86
q4_0,test7.wav,1,12867556,12594616,272940,266.54,115804,113.09
q4_0,test8.wav,1,12875166,12548636,326530,318.88,115408,112.70
q4_0,test9.wav,1,12818410,12545276,273134,266.73,116600,113.87
q4_0,test10.wav,1,12843604,12540415,303189,296.08,116336,113.61
q4_0,test1.wav,2,12901270,12604232,297038,290.08,115976,113.26
q4_0,test2.wav,2,12926296,12615860,310436,303.16,115748,113.04
q4_0,test3.wav,2,12914516,12627696,286820,280.10,116096,113.38
q4_0,test4.wav,2,12919024,12603006,316018,308.61,115868,113.15
q4_0,test5.wav,2,12887976,12587210,300766,293.72,115560,112.85
q4_0,test6.wav,2,12918086,12617447,300639,293.59,115360,112.66
q4_0,test7.wav,2,12897440,12593791,303649,296.53,115964,113.25
q4_0,test8.wav,2,12921662,12600584,321078,313.55,115532,112.82
q4_0,test9.wav,2,12934924,12641020,293904,287.02,116456,113.73
q4_0,test10.wav,2,12917532,12613896,303636,296.52,116600,113.87
q4_0,test1.wav,3,12964524,12634537,329987,322.25,116100,113.38
q4_0,test2.wav,3,12911548,12606262,305286,298.13,115536,112.83
q4_0,test3.wav,3,12823706,12531142,292564,285.71,116180,113.46
q4_0,test4.wav,3,12834420,12551187,283233,276.59,115588,112.88
q4_0,test5.wav,3,12866030,12585495,280535,273.96,115672,112.96
q4_0,test6.wav,3,12879720,12552190,327530,319.85,115676,112.96
q4_0,test7.wav,3,12862304,12588072,274232,267.80,115844,113.13
q4_0,test8.wav,3,12861576,12516513,345063,336.98,115572,112.86
q4_0,test9.wav,3,12823076,12551915,271161,264.81,117140,114.39
q4_0,test10.wav,3,12811844,12504204,307640,300.43,116384,113.66
